iso3,country_name,region,classification,paper_case_group,case_china_benchmark,case_resilient_sovereign,case_sri_lanka_anchor,case_high_debt_resilient,case_resource_conversion,case_strategic_conversion,case_strategic_transition,case_vulnerability_trap,case_geoeconomic_pressure,case_creditor_conversion,case_reform_case
FIN,Finland,Europe & Central Asia,Resilient sovereign under frontier pressure,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0
NOR,Norway,Europe & Central Asia,Resilient sovereign / resource conversion ideal type,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0
CHE,Switzerland,Europe & Central Asia,Resilient sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0
ARG,Argentina,Latin America & Caribbean,Repeated fiscal-currency stress case,vulnerability_trap,0,0,0,0,0,0,0,1,0,0,0
GHA,Ghana,Sub-Saharan Africa,External debt distress case,vulnerability_trap,0,0,0,0,0,0,0,1,0,0,0
ZMB,Zambia,Sub-Saharan Africa,Commodity-debt restructuring case,vulnerability_trap,0,0,0,0,0,0,0,1,0,0,0
PAK,Pakistan,South Asia,Recurring balance-of-payments case,vulnerability_trap,0,0,0,0,0,0,0,1,0,0,0
LBN,Lebanon,Middle East & North Africa,Institutional/banking collapse case,vulnerability_trap_extreme,0,0,0,0,0,0,0,1,0,0,0
GRC,Greece,Europe & Central Asia,Monetary-union debt-overhang case,vulnerability_trap,0,0,0,0,0,0,0,1,0,0,0
BLZ,Belize,Latin America & Caribbean,Debt-for-nature conversion case,creditor_conversion,0,0,0,0,0,0,0,0,0,1,0
BRB,Barbados,Latin America & Caribbean,Blue-bond/debt conversion case,creditor_conversion,0,0,0,0,0,0,0,0,0,1,0
ECU,Ecuador,Latin America & Caribbean,Debt-for-nature conversion case,creditor_conversion,0,0,0,0,0,0,0,0,0,1,0
SGP,Singapore,East Asia & Pacific,Small-state strategic reserves/capacity benchmark,strategic_conversion,0,0,0,0,0,1,0,0,0,0,0
KOR,South Korea,East Asia & Pacific,Developmental-state conversion case,strategic_conversion,0,0,0,0,0,1,0,0,0,0,0
QAT,Qatar,Middle East & North Africa,Small-state energy/geoeconomic positioning,resource_conversion,0,0,0,0,1,0,0,0,0,0,0
MDV,Maldives,South Asia,Small-island tourism/debt vulnerability case,vulnerability_trap_partial,0,0,0,0,0,0,0,1,0,0,0
JAM,Jamaica,Latin America & Caribbean,Debt reform and fiscal rule case,reform_case,0,0,0,0,0,0,0,0,0,0,1
VNM,Vietnam,East Asia & Pacific,Export-industrial conversion case,strategic_transition,0,0,0,0,0,0,1,0,0,0,0
THA,Thailand,East Asia & Pacific,Tourism/export shock-resilience comparator,strategic_transition,0,0,0,0,0,0,1,0,0,0,0
PHL,Philippines,East Asia & Pacific,Remittance/services resilience comparator,strategic_transition,0,0,0,0,0,0,1,0,0,0,0
MYS,Malaysia,East Asia & Pacific,Commodity-manufacturing mixed model,strategic_transition,0,0,0,0,0,0,1,0,0,0,0
NGA,Nigeria,Sub-Saharan Africa,Oil/revenue conversion stress case,vulnerability_trap_partial,0,0,0,0,0,0,0,1,0,0,0
CIV,Côte d’Ivoire,Sub-Saharan Africa,High-growth debt/development comparator,strategic_transition,0,0,0,0,0,0,1,0,0,0,0
ETH,Ethiopia,Sub-Saharan Africa,State-led infrastructure/debt stress comparator,strategic_transition,0,0,0,0,0,0,1,0,0,0,0
